species,source,family,class,guild,trophic,lmax,better_dist,bimodal,fished
Acanthurus nigricans,rls,Acanthuridae,Actinopterygii,tropical,Browsing herbivore,21.3,normal,FALSE,FALSE
Acanthurus nigricauda,rls,Acanthuridae,Actinopterygii,tropical,Browsing herbivore,40,normal,FALSE,FALSE
Acanthurus nigrofuscus,rls,Acanthuridae,Actinopterygii,tropical,Browsing herbivore,21,lognormal,FALSE,FALSE
Acanthurus nigroris,rls,Acanthuridae,Actinopterygii,tropical,Browsing herbivore,25,normal,FALSE,FALSE
Acanthurus olivaceus,rls,Acanthuridae,Actinopterygii,tropical,Browsing herbivore,35,normal,FALSE,FALSE
Acanthurus pyroferus,rls,Acanthuridae,Actinopterygii,tropical,Browsing herbivore,25,normal,FALSE,FALSE
Acanthurus thompsoni,rls,Acanthuridae,Actinopterygii,tropical,Planktivore,27,normal,FALSE,FALSE
Acanthurus triostegus,rls,Acanthuridae,Actinopterygii,tropical,Browsing herbivore,27,normal,FALSE,FALSE
Acanthurus xanthopterus,rls,Acanthuridae,Actinopterygii,tropical,Browsing herbivore,70,normal,FALSE,FALSE
Achoerodus gouldii,rls,Labridae,Actinopterygii,temperate,Benthic invertivore,175,lognormal,FALSE,TRUE
Achoerodus viridis,rls,Labridae,Actinopterygii,temperate,Benthic invertivore,100,normal,FALSE,TRUE
Aethaloperca rogaa,rls,Serranidae,Actinopterygii,tropical,Higher carnivore,60,normal,FALSE,FALSE
Afurcagobius tamarensis,rls,Gobiidae,Actinopterygii,temperate,Benthic invertivore,11,normal,FALSE,FALSE
Aldrichetta forsteri,rls,Mugilidae,Actinopterygii,temperate,Browsing herbivore,50,normal,TRUE,TRUE
Alepes vari,rls,Carangidae,Actinopterygii,tropical,Higher carnivore,56,normal,FALSE,FALSE
Ambassis jacksoniensis,rls,Ambassidae,Actinopterygii,temperate,Planktivore,7,normal,FALSE,FALSE
Amblyeleotris steinitzi,rls,Gobiidae,Actinopterygii,tropical,Benthic invertivore,13,normal,FALSE,FALSE
Amblyglyphidodon aureus,rls,Pomacentridae,Actinopterygii,tropical,Omnivore,13,normal,FALSE,FALSE
Amblyglyphidodon curacao,rls,Pomacentridae,Actinopterygii,tropical,Omnivore,11,normal,FALSE,FALSE
Amblyglyphidodon leucogaster,rls,Pomacentridae,Actinopterygii,tropical,Omnivore,13,normal,FALSE,FALSE
Amblyglyphidodon ternatensis,rls,Pomacentridae,Actinopterygii,tropical,Omnivore,10,normal,FALSE,FALSE
Amblygobius decussatus,rls,Gobiidae,Actinopterygii,tropical,Omnivore,9.5,normal,FALSE,FALSE
Amblygobius nocturnus,rls,Gobiidae,Actinopterygii,tropical,Omnivore,10,normal,FALSE,FALSE
Amblygobius phalaena,rls,Gobiidae,Actinopterygii,tropical,Omnivore,15,lognormal,FALSE,FALSE
Amphichaetodon howensis,rls,Chaetodontidae,Actinopterygii,temperate,Benthic invertivore,20,normal,FALSE,FALSE
Amphiprion akindynos,rls,Pomacentridae,Actinopterygii,tropical,Omnivore,9,normal,FALSE,FALSE
Amphiprion chrysopterus,rls,Pomacentridae,Actinopterygii,tropical,Omnivore,17,normal,FALSE,FALSE
