population,binned,cont,mean_size,data,species
Antennablennius adenensis__GoO,NA,0.1251052200291494,2.8314814814814815,cbf,Antennablennius adenensis
Eviota infulata__Moorea,NA,0.16749102687332434,1.1526315789473685,cbf,Eviota infulata
Eviota monostigma__Lizard,NA,0.20241215130672868,1.725,cbf,Eviota monostigma
Eviota occasa__Lizard,NA,0.11898357301762358,1.1570512820512822,cbf,Eviota occasa
Eviota punctulata__Lizard,NA,0.17301959205396916,1.1329411764705883,cbf,Eviota punctulata
Eviota punyit__GoO,NA,0.055235866302990294,2.325,cbf,Eviota punyit
Eviota queenslandica__Lizard,NA,0.17472536212270373,1.8884615384615384,cbf,Eviota queenslandica
Eviota sparsa__Lizard,NA,0.20815425426230708,1.1652631578947368,cbf,Eviota sparsa
Eviota teresae__Lizard,NA,0.1548801594910584,1.95,cbf,Eviota teresae
Eviota variola__Lizard,NA,0.1231356847794918,0.99,cbf,Eviota variola
Helcogramma fuscopinna__GoO,NA,0.13041994153480213,2.917910447761194,cbf,Helcogramma fuscopinna
Koumansetta rainfordi__Lizard,NA,0.5911028851214972,2.4571428571428573,cbf,Koumansetta rainfordi
Limnichthys nitidus__Moorea,NA,0.10517741562095481,1.8076923076923077,cbf,Limnichthys nitidus
Lythrypnus elasson__Belize,NA,0.18301195473505602,1.1095238095238096,cbf,Lythrypnus elasson
Priolepis semidoliata__GoO,NA,0.11746170573424869,2.53,cbf,Priolepis semidoliata
Sparisoma viride__Belize,NA,0.5104171712924934,2.21,cbf,Sparisoma viride
Trimma lantana__Lizard,NA,0.6419617334999068,2.425,cbf,Trimma lantana
Trimma macrophthalmum__Lizard,NA,0.1435247802762251,1.95,cbf,Trimma macrophthalmum
