species,size_class,size_min,size_max,std_mk,name,value
Ctenochaetus striatus,20,17.5,22.5,0.454546971,lbspr_mk15,0.00524227433684867
Ctenochaetus striatus,25,22.5,27.5,0.454546971,lbspr,0
Ctenochaetus striatus,25,22.5,27.5,0.454546971,rls_obs,0.02697721923708868
Ctenochaetus striatus,25,22.5,27.5,0.454546971,p_norm,0.02054250744531738
Ctenochaetus striatus,25,22.5,27.5,0.454546971,p_lnorm,0.0308801839577224
Ctenochaetus striatus,25,22.5,27.5,0.454546971,lbspr_mk15,0
Ctenochaetus striatus,30,27.5,32.5,0.454546971,lbspr,0
Ctenochaetus striatus,30,27.5,32.5,0.454546971,rls_obs,0.00270882366002042
Ctenochaetus striatus,30,27.5,32.5,0.454546971,p_norm,8.656787885219508e-4
Ctenochaetus striatus,30,27.5,32.5,0.454546971,p_lnorm,0.0071240243202767
Ctenochaetus striatus,30,27.5,32.5,0.454546971,lbspr_mk15,0
Ctenochaetus striatus,35,32.5,37.5,0.454546971,lbspr,0
Ctenochaetus striatus,35,32.5,37.5,0.454546971,rls_obs,5.328833429548381e-4
Ctenochaetus striatus,35,32.5,37.5,0.454546971,p_norm,1.1503735916740254e-5
Ctenochaetus striatus,35,32.5,37.5,0.454546971,p_lnorm,0.00161627448692602
Ctenochaetus striatus,35,32.5,37.5,0.454546971,lbspr_mk15,0
Pomacentrus wardi,2.5,1.25,3.75,0.86,lbspr,0.34602218902330617
Pomacentrus wardi,2.5,1.25,3.75,0.86,rls_obs,0.2548274390569158
Pomacentrus wardi,2.5,1.25,3.75,0.86,p_norm,0.08691899070408927
Pomacentrus wardi,2.5,1.25,3.75,0.86,p_lnorm,0.0530336497747373
Pomacentrus wardi,2.5,1.25,3.75,0.86,lbspr_mk15,0.5202800338423321
Pomacentrus wardi,5,3.75,6.25,0.86,lbspr,0.3840980435342163
Pomacentrus wardi,5,3.75,6.25,0.86,rls_obs,0.3997973009014776
Pomacentrus wardi,5,3.75,6.25,0.86,p_norm,0.31707033464143475
Pomacentrus wardi,5,3.75,6.25,0.86,p_lnorm,0.4184051917877079
Pomacentrus wardi,5,3.75,6.25,0.86,lbspr_mk15,0.3649767865822027
Pomacentrus wardi,7.5,6.25,8.75,0.86,lbspr,0.2614082944808719
Pomacentrus wardi,7.5,6.25,8.75,0.86,rls_obs,0.23329065983890757
Pomacentrus wardi,7.5,6.25,8.75,0.86,p_norm,0.39450640332349063
Pomacentrus wardi,7.5,6.25,8.75,0.86,p_lnorm,0.35640054457914233
Pomacentrus wardi,7.5,6.25,8.75,0.86,lbspr_mk15,0.11329653443391828
Pomacentrus wardi,10,8.75,11.25,0.86,lbspr,0.00847147296160572
Pomacentrus wardi,10,8.75,11.25,0.86,rls_obs,0.0943617645489945
Pomacentrus wardi,10,8.75,11.25,0.86,p_norm,0.1678811850167815
Pomacentrus wardi,10,8.75,11.25,0.86,p_lnorm,0.12811018736519408
Pomacentrus wardi,10,8.75,11.25,0.86,lbspr_mk15,0.00144664514154702
Pomacentrus wardi,12.5,11.25,13.75,0.86,lbspr,0
Pomacentrus wardi,12.5,11.25,13.75,0.86,rls_obs,0.01772283565370459
Pomacentrus wardi,12.5,11.25,13.75,0.86,p_norm,0.02418784918760319
Pomacentrus wardi,12.5,11.25,13.75,0.86,p_lnorm,0.03366750128967666
Pomacentrus wardi,12.5,11.25,13.75,0.86,lbspr_mk15,0
Acanthurus nigrofuscus,2.5,1.25,3.75,0.490027126,lbspr,0.07469898326324488
Acanthurus nigrofuscus,2.5,1.25,3.75,0.490027126,rls_obs,0.0166317147927085
Acanthurus nigrofuscus,2.5,1.25,3.75,0.490027126,p_norm,0.01578411584347219
Acanthurus nigrofuscus,2.5,1.25,3.75,0.490027126,p_lnorm,2.6223002965491943e-4
Acanthurus nigrofuscus,2.5,1.25,3.75,0.490027126,lbspr_mk15,0.21102206622321493
Acanthurus nigrofuscus,5,3.75,6.25,0.490027126,lbspr,0.08170141149878053
Acanthurus nigrofuscus,5,3.75,6.25,0.490027126,rls_obs,0.1052911759961284
Acanthurus nigrofuscus,5,3.75,6.25,0.490027126,p_norm,0.05130291878022509
Acanthurus nigrofuscus,5,3.75,6.25,0.490027126,p_lnorm,0.02694808283797171
Acanthurus nigrofuscus,5,3.75,6.25,0.490027126,lbspr_mk15,0.1933948602145259
Acanthurus nigrofuscus,7.5,6.25,8.75,0.490027126,lbspr,0.09116949853888864
Acanthurus nigrofuscus,7.5,6.25,8.75,0.490027126,rls_obs,0.2466042910146798
Acanthurus nigrofuscus,7.5,6.25,8.75,0.490027126,p_norm,0.1189062709819276
Acanthurus nigrofuscus,7.5,6.25,8.75,0.490027126,p_lnorm,0.15521585967830548
Acanthurus nigrofuscus,7.5,6.25,8.75,0.490027126,lbspr_mk15,0.17394516580349034
Acanthurus nigrofuscus,10,8.75,11.25,0.490027126,lbspr,0.23479572775961857
Acanthurus nigrofuscus,10,8.75,11.25,0.490027126,rls_obs,0.30717857718986935
Acanthurus nigrofuscus,10,8.75,11.25,0.490027126,p_norm,0.196574683018815
Acanthurus nigrofuscus,10,8.75,11.25,0.490027126,p_lnorm,0.25941029430629414
Acanthurus nigrofuscus,10,8.75,11.25,0.490027126,lbspr_mk15,0.2776527331189711
Acanthurus nigrofuscus,12.5,11.25,13.75,0.490027126,lbspr,0.18803481860941543
Acanthurus nigrofuscus,12.5,11.25,13.75,0.490027126,rls_obs,0.1813195676722052
Acanthurus nigrofuscus,12.5,11.25,13.75,0.490027126,p_norm,0.2318379639902397
Acanthurus nigrofuscus,12.5,11.25,13.75,0.490027126,p_lnorm,0.2355519151598448
Acanthurus nigrofuscus,12.5,11.25,13.75,0.490027126,lbspr_mk15,0.09023833484696006
Acanthurus nigrofuscus,15,13.75,17.5,0.490027126,lbspr,0.31918840691282624
Acanthurus nigrofuscus,15,13.75,17.5,0.490027126,rls_obs,0.10440393611872882
