species,size_class,p_lbspr,size_min,size_max,p_lbspr_mk15,p_obs,std_linf,std_k,std_mk,hoenig_m,largest_fish_in_sample_mm,mean_size
Sphyraena flavicauda,350,0,325,375,0,0,41.21,0.39,1.862837273,0.726506536,382,22
Sphyraena flavicauda,400,0,375,450,0,0,41.21,0.39,1.862837273,0.726506536,382,22
Diagramma pictum,2.5,0.02612783227630583,1.25,3.75,0.05118469351361758,0,60.6,0.45,0.755577763,0.340009994,640,36.89133425034388
Diagramma pictum,5,0.02635866164108393,3.75,6.25,0.05027148897579061,6.87757909215956e-4,60.6,0.45,0.755577763,0.340009994,640,36.89133425034388
Diagramma pictum,7.5,0.02660077599702897,6.25,8.75,0.04934145117459356,0.00275103163686382,60.6,0.45,0.755577763,0.340009994,640,36.89133425034388
Diagramma pictum,10,0.05397713865971237,8.75,11.25,0.0958180913393912,0.00137551581843191,60.6,0.45,0.755577763,0.340009994,640,36.89133425034388
Diagramma pictum,12.5,0.02740303627816887,11.25,13.75,0.04643771324325433,0.00894085281980742,60.6,0.45,0.755577763,0.340009994,640,36.89133425034388
Diagramma pictum,15,0.05571502729941954,13.75,17.5,0.08982229334275997,0.01375515818431911,60.6,0.45,0.755577763,0.340009994,640,36.89133425034388
Diagramma pictum,20,0.05705178579855675,17.5,22.5,0.08558662344726298,0.04607977991746905,60.6,0.45,0.755577763,0.340009994,640,36.89133425034388
Diagramma pictum,25,0.08850613390565337,22.5,27.5,0.1199348973539162,0.10247592847317744,60.6,0.45,0.755577763,0.340009994,640,36.89133425034388
Diagramma pictum,30,0.0613349529005505,27.5,32.5,0.07391696361595329,0.2469050894085282,60.6,0.45,0.755577763,0.340009994,640,36.89133425034388
Diagramma pictum,35,0.09646102677005086,32.5,37.5,0.10090594519299864,0.20701513067400276,60.6,0.45,0.755577763,0.340009994,640,36.89133425034388
Diagramma pictum,40,0.1408715706450706,37.5,45,0.11303325937218241,0.19669876203576345,60.6,0.45,0.755577763,0.340009994,640,36.89133425034388
Diagramma pictum,50,0.20016599196098264,45,56.25,0.09317632106924888,0.08940852819807428,60.6,0.45,0.755577763,0.340009994,640,36.89133425034388
Diagramma pictum,62.5,0.13227651100902182,56.25,68.75,0.02992112564032156,0.04195323246217331,60.6,0.45,0.755577763,0.340009994,640,36.89133425034388
Diagramma pictum,75,0.00714955485839387,68.75,81.25,6.491327187088046e-4,0.022008253094910592,60.6,0.45,0.755577763,0.340009994,640,36.89133425034388
Diagramma pictum,87.5,0,81.25,93.75,0,0.0171939477303989,60.6,0.45,0.755577763,0.340009994,640,36.89133425034388
Diagramma pictum,100,0,93.75,106.25,0,0.00206327372764786,60.6,0.45,0.755577763,0.340009994,640,36.89133425034388
Diagramma pictum,112.5,0,106.25,118.75,0,6.87757909215956e-4,60.6,0.45,0.755577763,0.340009994,640,36.89133425034388
Diagramma pictum,125,0,118.75,131.25,0,0,60.6,0.45,0.755577763,0.340009994,640,36.89133425034388
Diagramma pictum,137.5,0,131.25,143.75,0,0,60.6,0.45,0.755577763,0.340009994,640,36.89133425034388
Diagramma pictum,150,0,143.75,156.25,0,0,60.6,0.45,0.755577763,0.340009994,640,36.89133425034388
Diagramma pictum,162.5,0,156.25,168.75,0,0,60.6,0.45,0.755577763,0.340009994,640,36.89133425034388
Diagramma pictum,175,0,168.75,181.25,0,0,60.6,0.45,0.755577763,0.340009994,640,36.89133425034388
Diagramma pictum,187.5,0,181.25,193.75,0,0,60.6,0.45,0.755577763,0.340009994,640,36.89133425034388
Diagramma pictum,200,0,193.75,225,0,0,60.6,0.45,0.755577763,0.340009994,640,36.89133425034388
Diagramma pictum,250,0,225,275,0,0,60.6,0.45,0.755577763,0.340009994,640,36.89133425034388
